id	title	rank	probability
3229	Avspänningspedagog	3166	0,54
3229	Avspänningsterapeut	3166	0,54
8212	Avsynare, betongvaror	6995	0,97
8252	Avsynare, bokbinderi	6270	0,95
7224	Avsynare, borrstål	6995	0,97
8282	Avsynare, el-tele	7685	0,98
8282	Avsynare, elkrafttekn. produkter	7685	0,98
7311	Avsynare, finmekanik	8403	0,99
7224	Avsynare, gjutgods	6995	0,97
7422	Avsynare, glas- och keramikprodukter	5183	0,9
7313	Avsynare, guld- och silverprodukter	6270	0,95
8231	Avsynare, gummiprodukter	6995	0,97
8229	Avsynare, kemiska produkter	5183	0,9
8274	Avsynare, konfektyr	5637	0,93
8269	Avsynare, lädervaror	6995	0,97
8272	Avsynare, mejeriprodukter	5637	0,93
8223	Avsynare, metalliserare	5570	0,92
7224	Avsynare, metallprodukter	6995	0,97
7422	Avsynare, musikinstrument	5361	0,91
8253	Avsynare, pappersprodukter	6270	0,95
8232	Avsynare, plastprodukter	7685	0,98
8269	Avsynare, skor	6995	0,97
7224	Avsynare, smide	6995	0,97
7112	Avsynare, stenprodukter	5084	0,89
7224	Avsynare, stål	6995	0,97
8142	Avsynare, sågverk	4610	0,86
8279	Avsynare, tobaksvaror	5637	0,93
8142	Avsynare, träfiberindustri	4610	0,86
7421	Avsynare, träprodukter	6646	0,96
8264	Avsynare, tyger	6995	0,97
7433	Avsynare, tygkonfektion	6270	0,95
8269	Avtagare, spinneri	6646	0,96
1120	Avtalssekreterare, intresseorganisation	2245	0,25
2423	Avtalssekreterare, kommun	1033	0,06
6153	Avverkningsledare	2913	0,42
8331	Avverkningsmaskinförare	4803	0,87
6153	Avverkningsplanerare	2913	0,42
3131	B-fotograf	512	0,021
3475	Babysiminstruktör	1472	0,13
3133	Backlinetekniker	7685	0,98
4120	Backoffice-personal	8403	0,99
5159	Badbevakare	4357	0,84
5159	Badbiträde	4357	0,84
5139	Baderska, sjukhem	4610	0,86
5139	Baderska, sjukhus	4610	0,86
1319	Badföreståndare, funktions- eller mellanchef	2245	0,25
1319	Badföreståndare, verksamhetsnära chef	2245	0,25
5224	Badhuskassör	6995	0,97
3475	Badmintontränare	7685	0,98
5159	Badmästare	4357	0,84
5159	Badvakt	4357	0,84
7137	Badvaktmästare	3598	0,66
5159	Badvärd	4357	0,84
9142	Bagagevaktmästare	5982	0,94
7412	Bagare	5084	0,89
8274	Bageriarbetare	5637	0,93
2229	Bakteriolog, forskare	2696	0,3
2221	Bakteriolog, klinisk	13	0,0042
3473	Balettdansör	1472	0,13
3473	Balettmästare	1472	0,13
3473	Balettrepetitör	1472	0,13
3320	Ballongflygare	3197	0,55
8290	Balpressare	7685	0,98
9130	Bambatant	6995	0,97
6113	Banarbetare, golfbana	4803	0,87
7124	Banarbetare, järnväg	5570	0,92
2432	Bandarkivarie	3991	0,76
8332	Bandlastarförare	6270	0,95
8332	Bandschaktarförare	6270	0,95
8211	Bandsågare, metall	7685	0,98
8142	Bandsågare, sågverk	4610	0,86
8142	Bandsågare, träfiberskivor	4610	0,86
8332	Bandtraktorförare	6270	0,95
8122	Bandvalsare	5361	0,91
8269	Bandvävare	3852	0,73
3475	Bandydomare	7685	0,98
3475	Bandyspelare	2648	0,28
8312	Bangårdsarbetare	4610	0,86
8312	Bangårdsoperatör	4610	0,86
3152	Baninspektör, järnväg	5982	0,94
1315	Bankchef, funktions- eller mellanchef	1731	0,16
1315	Bankchef, verksamhetsnära chef	1731	0,16
1210	Bankdirektör	1731	0,16
4212	Bankexpeditör	7685	0,98
2480	Bankinspektör	2110	0,23
2423	Bankjurist	1033	0,06
2411	Bankkamrer	8403	0,99
4212	Bankkassör	7685	0,98
4212	Bankrådgivare	7685	0,98
4212	Banksäljare	7685	0,98
4212	Banktjänsteman	7685	0,98
1235	Banområdeschef, funktions- eller mellanchef	3275	0,59
4131	Banområdeschef, verksamhetsnära chef	3275	0,59
3475	Banracingförare	2648	0,28
7124	Banreparatör	5570	0,92
7124	Bantekniker	5570	0,92
3480	Baptistpastor	601	0,025
9130	Barbiträde	6995	0,97
5123	Barchef	4024	0,77
5123	Barista	4024	0,77
8331	Barkmaskinskötare, skogsbruk	4803	0,87
8142	Barkmaskinskötare, sågverk	4610	0,86
